day," from"," to"," time_tolerance"," danger_coof"," description"
-1,"9:15","9:30","1","0.2","School break"
-1,"10:15","10:25","1","0.2","School break"
-1,"11:10","11:25","1","0.2","School break"
-1,"12:10","12:25","1","0.2","School break"
-1,"13:10","13:25","1","0.2","School break"
-1,"14:10","14:20","1","0.2","School break"
-1,"15:05","15:20","1","0.2","School break"
-1,"16:05","16:20","1","0.2","School break"
-1,"17:05","17:20","1","0.2","School break"
-1,"18:05","18:15","0","0.2","School break"
0,"8:00","8:30","5","1.0","Going to the lesson in 5A, 28 or 29 c."
0,"8:30","9:15","2","-0.2","Lesson in 5A, 28 or 29 c."
0,"9:15","9:30","2","1.0","Transfer"
0,"9:30","10:15","2","-0.2","Lesson in 9V, 3 or 25 c."
0,"10:15","10:25","2","1.0","Transfer"
0,"10:25","11:10","2","-0.2","Lesson in 5V, 3 or 28 c."
0,"11:10","12:20","10","0.5","Undefined"
0,"12:20","13:20","20","-0.2","Child support:d"
0,"13:20","13:45","10","1.0","Going home"
0,"15:00","15:20","5","1.0","Going back"
0,"15:20","16:05","2","-0.2","Lesson in 4V, 9 c."
0,"16:05","16:25","10","1.0","Going home"
1,"9:00","9:30","2","1.0","Going to the lesson in 9V, 25, 36 c."
1,"9:30","10:15","2","-0.2","Lesson in 9V, 25 or 36 c."
1,"10:15","10:40","10","1.0","Going home"
1,"12:05","12:25","5","1.0","Going back"
1,"12:25","13:10","2","-0.2","Lesson in 5B, 28 of 29 c."
1,"13:10","13:25","2","1.0","Transfer"
1,"13:25","14:10","2","-0.2","Lesson in 8B, 27 or 29 c."
1,"14:10","14:20","2","1.0","Transfer"
1,"14:20","15:05","2","-0.2","Lesson in 4A, 9 c."
1,"15:05","15:20","2","1.0","Transfer"
1,"15:20","16:05","2","-0.2","Lesson in 4V, 9c."
1,"16:05","16:30","1","1.0","Going home"
2,"8:00","8:30","5","1.0","Going to the lesson in 5V, 28 or 29 c."
2,"8:30","9:15","2","-0.2","Lesson in 5V, 28 or 29 c."
2,"9:15","10:10","2","1.0","Transfer"
2,"10:10","10:25","2","1.0","Dining room"
2,"10:25","11:10","2","-0.2","Lesson in 8V, 27 or 28 c."
2,"11:10","11:25","2","1.0","Transfer"
2,"11:25","12:10","2","-0.2","Lesson in 8B, 28, 29 c."
2,"12:10","12:25","2","1.0","Transfer"
2,"12:25","13:10","2","-0.2","Lesson in 5A, 27 or 29 c."
2,"13:10 ","14:20","2","1.0","Transfer"
2,"14:20","15:05","2","-0.2","Lesson in 4A, 9 c."
2,"15:05","15:20","2","1.0","Transfer"
2,"15:20","16:05","2","-0.2","Lesson in 3B, 9 c."
2,"16:05","16:20","2","1.0","Transfer"
2,"16:20","17:05","2","-0.2","Lesson in 4V, 9 c."
2,"17:05","17:30","10","1.0","Going home"
3,"8:00","8:30","5","1.0","Going to lesson in 8V, 28 or 29 c."
3,"8:30","9:15","2","-0.2","Lesson in 8V, 28 or 29 c."
3,"9:15","9:30","2","1.0","Transfer"
3,"9:30","10:15","2","-0.2","Lesson in 9V, 25, 27 c."
3,"10:15","10:25","2","1.0","Transfer"
3,"10:25","11:10","2","-0.2","Lesson in 5A, 27, 35 c."
3,"11:10","11:25","2","1.0","Transfer"
3,"11:25","12:10","2","-0.2","Lesson in 5V, 27, 38 c."
3,"12:10","12:25","2","1.0","Transfer"
3,"12:25","13:10","2","-0.2","Lesson in 5B, 28, 29 c."
3,"13:10 ","13:30","10","1.0","Going home "
3,"15:00","15:20","2","1.0","Going back"
3,"15:20","16:05","2","-0.2","Lesson in 3B, 9 c."
3,"16:05","16:35","10","1.0","Going home"
3,"19:00","19:10","10","1.0","Child help transfer"
3,"19:10","20:00","20","-0.2","Child help"
3,"20:00","20:20","10","1.0","Going home"
4,"9:00","9:30","10","1.0","Going to lesson in 5B, 25 or 27 c."
4,"9:30","10:15","2","-0.2","Lesson in 5B, 25 or 27 c."
4,"10:15","11:25","2","0.5","Undefined"
4,"11:25","12:10","2","-0.2","Lesson in 8V, 28 or 29 c."
4,"12:10","12:25","2","1.0","Transfer"
4,"12:25","13:10","2","-0.2","Lesson in 8B, 28, 29 c."
4,"13:10","14:20","2","0.5","Undefined"
4,"14:20","15:05","2","-0.2","Lesson in 4A, 9 c."
4,"15:05","15:20","2","1.0","Transfer"
4,"15:20","16:05","2","-0.2","Lesson in 3B, 9 c."
4,"16:05","16:30","10","1.0","Going home"